gpu_Idx,pwr_W,gtemp_C,mtemp_C,sm_%,mem_%,enc_%,dec_%,jpg_%,ofa_%,mclk_MHz,pclk_MHz,pviol_%,tviol_bool,fb_MB,bar1_MB,ccpm_MB,rxpci_MB/s,txpci_MB/s
0,194,28,34,29,13,0,0,0,0,2619,1980,0,0,19707,4,0,5,487
1,139,28,33,1,1,0,0,0,0,2619,1980,0,0,19067,4,0,24,0
0,152,28,32,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,159,0
1,151,29,33,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,151,23
0,150,28,32,18,2,0,0,0,0,2619,1980,0,0,25879,4,0,130,29
1,150,29,33,14,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,23
0,152,28,32,18,2,0,0,0,0,2619,1980,0,0,25879,4,0,161,26
1,151,30,34,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,109,25
0,150,29,32,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,158,26
1,151,30,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,80,25
0,152,29,33,14,2,0,0,0,0,2619,1980,0,0,25879,4,0,1,25
1,152,30,35,19,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,8
0,151,29,33,23,3,0,0,0,0,2619,1980,0,0,25879,4,0,93,26
1,152,30,35,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,15
0,149,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,0,5
1,149,30,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,0
0,149,29,32,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,146,26
1,151,30,35,16,3,0,0,0,0,2619,1980,0,0,21369,4,0,9,26
0,150,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,166,26
1,151,30,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,49,26
0,150,29,33,23,3,0,0,0,0,2619,1980,0,0,25879,4,0,0,6
1,151,30,35,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,1,5
0,149,29,33,14,2,0,0,0,0,2619,1980,0,0,25879,4,0,74,26
1,150,30,35,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,0,21
0,152,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,163,30
1,153,31,35,16,2,0,0,0,0,2619,1980,0,0,21369,4,0,13,26
0,149,29,33,16,2,0,0,0,0,2619,1980,0,0,25879,4,0,159,12
1,151,31,35,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,157,25
0,151,29,33,24,3,0,0,0,0,2619,1980,0,0,25879,4,0,160,26
1,152,31,35,21,3,0,0,0,0,2619,1980,0,0,21369,4,0,119,25
0,151,29,33,21,3,0,0,0,0,2619,1980,0,0,25879,4,0,157,2
1,150,31,36,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,156,15
0,149,29,34,15,2,0,0,0,0,2619,1980,0,0,25879,4,0,0,0
1,150,31,38,13,2,0,0,0,0,2619,1980,0,0,21369,4,0,87,4
0,150,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,159,24
1,151,31,35,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,156,25
0,150,29,33,14,2,0,0,0,0,2619,1980,0,0,25879,4,0,157,27
1,150,31,35,25,4,0,0,0,0,2619,1980,0,0,21369,4,0,100,26
0,149,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,0,0
1,149,31,35,25,4,0,0,0,0,2619,1980,0,0,21369,4,0,1,0
0,151,29,33,23,3,0,0,0,0,2619,1980,0,0,25879,4,0,161,6
1,151,31,36,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,157,23
0,150,29,33,22,3,0,0,0,0,2619,1980,0,0,25879,4,0,77,0
1,153,31,35,22,3,0,0,0,0,2619,1980,0,0,21369,4,0,157,20
0,151,29,33,17,2,0,0,0,0,2619,1980,0,0,25879,4,0,157,29
1,150,31,35,18,2,0,0,0,0,2619,1980,0,0,21369,4,0,117,26
0,150,29,33,14,2,0,0,0,0,2619,1980,0,0,25879,4,0,160,26
1,151,31,35,18,2,0,0,0,0,2619,1980,0,0,21369,4,0,10,25
0,147,29,33,12,2,0,0,0,0,2619,1980,0,0,25879,4,0,0,0
1,149,31,36,25,3,0,0,0,0,2619,1980,0,0,21369,4,0,152,0
0,148,29,33,18,2,0,0,0,0,2619,1980,0,0,25879,4,0,3,3
1,149,31,36,19,3,0,0,0,0,2619,1980,0,0,21369,4,0,74,0
0,148,29,33,18,2,0,0,0,0,2619,1980,0,0,25879,4,0,159,23
1,149,31,36,15,2,0,0,0,0,2619,1980,0,0,21369,4,0,153,18
