gpu,pwr,gtemp,mtemp,sm,mem,enc,dec,jpg,ofa,mclk,pclk,pviol,tviol,fb,bar1,ccpm,rxpci,txpci
0,140,27,32,0,0,0,0,0,0,2619,1980,0,0,25795,4,0,94,9
1,114,29,33,0,0,0,0,0,0,2619,1980,0,0,21285,4,0,0,0
0,148,29,33,20,2,0,0,0,0,2619,1980,0,0,25883,4,0,531,0
1,149,30,35,19,3,0,0,0,0,2619,1980,0,0,21371,4,0,1,0
0,149,29,32,27,3,0,0,0,0,2619,1980,0,0,25883,4,0,437,26
1,149,30,35,25,4,0,0,0,0,2619,1980,0,0,21371,4,0,155,12
0,150,28,33,17,2,0,0,0,0,2619,1980,0,0,25883,4,0,637,0
1,148,30,35,26,4,0,0,0,0,2619,1980,0,0,21371,4,0,0,0
0,149,29,32,27,3,0,0,0,0,2619,1980,0,0,25883,4,0,17,161
1,148,30,36,14,2,0,0,0,0,2619,1980,0,0,21371,4,0,3,0
0,147,29,33,18,2,0,0,0,0,2619,1980,0,0,25883,4,0,170,150
1,146,30,35,24,3,0,0,0,0,2619,1980,0,0,21371,4,0,3,0
0,149,29,33,12,2,0,0,0,0,2619,1980,0,0,25883,4,0,275,26
1,148,30,35,24,4,0,0,0,0,2619,1980,0,0,21371,4,0,138,25
0,148,29,33,27,3,0,0,0,0,2619,1980,0,0,25883,4,0,560,0
1,147,30,35,17,3,0,0,0,0,2619,1980,0,0,21371,4,0,0,6
0,149,29,33,9,1,0,0,0,0,2619,1980,0,0,25883,4,0,562,0
1,149,30,36,17,2,0,0,0,0,2619,1980,0,0,21371,4,0,0,0
0,150,29,33,11,1,0,0,0,0,2619,1980,0,0,25883,4,0,425,0
1,149,30,35,21,3,0,0,0,0,2619,1980,0,0,21371,4,0,3,6
0,148,29,33,26,3,0,0,0,0,2619,1980,0,0,25883,4,0,11,126
1,149,30,36,9,2,0,0,0,0,2619,1980,0,0,21371,4,0,156,23
0,150,29,33,13,2,0,0,0,0,2619,1980,0,0,25883,4,0,169,88
1,149,30,35,12,2,0,0,0,0,2619,1980,0,0,21371,4,0,114,25
0,149,29,33,12,1,0,0,0,0,2619,1980,0,0,25883,4,0,176,100
1,147,30,35,27,4,0,0,0,0,2619,1980,0,0,21371,4,0,62,26
0,149,29,33,27,4,0,0,0,0,2619,1980,0,0,25883,4,0,141,82
1,148,30,36,16,2,0,0,0,0,2619,1980,0,0,21371,4,0,151,26
0,150,29,33,10,1,0,0,0,0,2619,1980,0,0,25883,4,0,19,116
1,150,30,35,18,2,0,0,0,0,2619,1980,0,0,21371,4,0,151,26
0,151,29,33,28,4,0,0,0,0,2619,1980,0,0,25883,4,0,314,10
1,150,30,35,25,4,0,0,0,0,2619,1980,0,0,21371,4,0,107,26
0,149,29,33,26,3,0,0,0,0,2619,1980,0,0,25883,4,0,574,8
1,149,30,36,21,3,0,0,0,0,2619,1980,0,0,21371,4,0,1,0
0,148,29,33,23,3,0,0,0,0,2619,1980,0,0,25883,4,0,178,26
1,147,30,36,10,2,0,0,0,0,2619,1980,0,0,21371,4,0,149,26
0,148,29,33,7,1,0,0,0,0,2619,1980,0,0,25883,4,0,348,0
1,146,30,35,17,2,0,0,0,0,2619,1980,0,0,21371,4,0,0,11
0,148,29,33,26,4,0,0,0,0,2619,1980,0,0,25883,4,0,313,26
1,146,30,35,19,2,0,0,0,0,2619,1980,0,0,21371,4,0,151,26
